ChEMBLID,pValue,grappolo,SlogP,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAromaticRings,FractionCSP3
CHEMBL90512,7.3,Cz,2.9619,50.74,260.989423648,3,2,3,1,0.111111111111111
CHEMBL90475,6,Cz,4.9093,27.63,392.970208196,2,1,2,2,0.125
CHEMBL94235,5.55,Cz,1.3035,89.81,308.040167624,4,2,6,2,0
CHEMBL92099,7.7,Cz,3.352,50.74,275.005073712,4,2,3,1,0.2
CHEMBL90428,6.64,Cz,2.86037,39.45,253.044046064,2,2,3,1,0.272727272727273
CHEMBL91640,7.1,Cz,2.97977,39.45,273.05475298,1,2,3,1,0.272727272727273
CHEMBL90772,6.5,Cz,3.51227,48.24,315.026487544,2,3,3,1,0.2
CHEMBL89973,7.22,Cz,3.6927,50.74,329.042137608,3,2,3,1,0.272727272727273
CHEMBL93774,6.55,Cz,2.5336,73.11,275.072847656,5,2,5,2,0.0769230769230769
CHEMBL91844,5.89,Cz,2.0275,50.74,256.962230356,2,2,3,1,0
CHEMBL90354,5.77,Cz,5.1656,27.63,383.047080756,2,1,2,2,0.176470588235294
CHEMBL90819,5.41,Cz,2.4176,50.74,270.97788042,3,2,3,1,0.111111111111111
CHEMBL329128,6.85,Cz,3.1784,63.88,279.02331062,3,2,4,2,0
CHEMBL89990,5.42,Cz,2.4791,50.74,276.934301356,3,2,4,1,0.142857142857143
CHEMBL90060,6.55,Cz,3.2875,63.88,322.97279504,3,2,4,2,0
CHEMBL88734,6.7,Cz,2.4176,50.74,270.97788042,3,2,3,1,0.111111111111111
CHEMBL330050,6.77,Cz,2.6739,50.74,261.05475298,3,2,3,1,0.2
CHEMBL314026,6.7,Cz,2.1025,41.62,282.97788042,1,1,2,1,0.2
CHEMBL91544,7.16,Cz,3.51377,39.45,287.005073712,2,2,3,1,0.272727272727273
CHEMBL327577,6.52,Cz,3.1784,63.88,279.02331062,3,2,4,2,0
CHEMBL90808,5.55,Cz,1.7567,55.67,232.078267384,3,2,4,2,0.0909090909090909
CHEMBL92376,7.3,Cz,3.064,50.74,275.070403044,4,2,3,1,0.272727272727273
CHEMBL406038,7.1,Cz,2.96947,39.45,296.993530484,2,2,3,1,0.272727272727273
CHEMBL91347,5.85,Cz,4.725,27.96,367.071780804001,7,1,3,1,0.5
CHEMBL90867,6.25,Cz,2.4268,59.97,259.077933036,4,2,4,2,0.0769230769230769
CHEMBL329346,7.22,Cz,2.6468,41.62,272.989423648,1,1,2,1,0.2
CHEMBL90181,5.72,Cz,2.37,50.74,232.984816936,3,2,4,1,0.142857142857143
CHEMBL90688,6.32,Cz,2.49347,48.24,247.039102916,2,3,3,1,0.111111111111111
CHEMBL420616,5.8,Cz,5.9799,36.75,429.01221524,5,2,3,2,0.176470588235294
CHEMBL421363,6.25,Cz,2.5718,50.74,246.973773584,2,2,3,1,0
CHEMBL91003,7.4,Cz,3.22577,39.45,287.070403044,2,2,3,1,0.333333333333333
CHEMBL415311,6.34,Cz,2.5718,50.74,246.973773584,2,2,3,1,0
CHEMBL91830,5.16,Cz,2.7458,68.56,333.03297198,4,2,6,2,0.181818181818182
CHEMBL313679,7,Cz,2.8077,50.74,284.993530484,4,2,3,1,0.2
CHEMBL93166,7.7,Cz,4.0828,50.74,343.057787672,4,2,3,1,0.333333333333333
CHEMBL90197,6.57,Cz,1.9934,41.62,239.028396,1,1,2,1,0.2
CHEMBL90866,6.66,Cz,2.6986,50.74,241.044046064,4,2,3,1,0.2
CHEMBL3142832,6.66,Cz,2.1264,145.94,585.262104968001,15,4,8,2,0.413793103448276
CHEMBL3142835,6.44,Cz,2.323,145.94,619.246454904001,13,4,8,3,0.28125
CHEMBL3142836,7.32,Cz,4.6294,145.94,719.277755032001,13,4,8,5,0.225
CHEMBL100017,6.42,Cz,2.2187,104.81,451.210721028001,10,2,5,2,0.36
CHEMBL103238,8.7,Cz,6.18670000000001,84.5,594.255228696001,16,2,5,4,0.25
CHEMBL100895,6.01,Cz,1.4567,114.04,467.205635648001,11,2,6,2,0.36
CHEMBL100849,8.38,Cz,5.79660000000001,84.5,580.239578632001,15,2,5,4,0.228571428571429
CHEMBL100702,7.27,Cz,3.053,104.81,513.226371092001,10,2,5,3,0.266666666666667
CHEMBL321974,8.96,Cz,5.77520000000001,97.39,575.281777792001,19,2,6,3,0.393939393939394
CHEMBL316864,7.8,Cz,3.4431,104.81,527.242021156001,11,2,5,3,0.290322580645161
CHEMBL419727,6.7,Cz,3.0105,104.81,499.210721028001,9,2,5,3,0.241379310344828
CHEMBL321988,7.36,Cz,5.75410000000001,84.5,566.223928568001,14,2,5,4,0.205882352941176
CHEMBL105708,6.56,Cz,2.4663,104.81,465.226371092001,11,2,5,2,0.384615384615385
CHEMBL101306,6.44,Cz,2.2203,104.81,451.210721028001,10,2,5,2,0.36
CHEMBL352896,7.46,Cz,3.69,113.6,561.229742220001,16,3,6,3,0.290322580645161
CHEMBL351721,7.82,Cz,3.2999,113.6,547.214092156001,15,3,6,3,0.266666666666667
CHEMBL161148,7.23,Cz,2.6225,114.04,555.240306904001,15,2,7,2,0.448275862068966
CHEMBL161817,8.54,Cz,4.5071,110.8,576.229407872001,17,2,7,3,0.3125
CHEMBL162695,8.34,Cz,4.9623,84.5,518.223928568001,15,2,5,3,0.3
CHEMBL161038,8.85,Cz,5.13750000000001,97.39,547.250477664001,13,2,6,3,0.354838709677419
CHEMBL161651,8.6,Cz,5.35240000000001,84.5,532.239578632001,12,2,5,3,0.32258064516129
CHEMBL161259,7.64,Cz,3.9021,123.69,577.224656840001,17,2,8,3,0.32258064516129
CHEMBL162250,7.26,Cz,3.4678,87.74,511.250477664001,10,2,5,2,0.464285714285714
CHEMBL263133,7.49,Cz,5.76270000000001,93.73,596.234493252001,16,2,6,4,0.228571428571429
CHEMBL162474,9,Cz,5.99010000000001,84.5,560.270878760001,18,2,5,3,0.363636363636364
CHEMBL351045,8.32,Cz,4.5508,97.39,499.250477664001,14,2,6,2,0.481481481481481
CHEMBL161739,8.1,Cz,4.3105,110.8,542.245057936001,19,2,7,2,0.448275862068966
CHEMBL350102,6.67,Cz,4.3021,87.74,573.266127728001,14,2,5,3,0.363636363636364
CHEMBL160000,8.89,Cz,5.15580000000001,84.5,498.255228696001,14,2,5,2,0.464285714285714
CHEMBL346190,7.66,Cz,7.05160000000001,84.5,622.286528824001,14,2,5,4,0.289473684210526
CHEMBL161573,8.3,Cz,8.18500000000001,84.5,644.364779144001,16,2,5,3,0.461538461538462
CHEMBL160273,7.43,Cz,4.5055,110.8,576.229407872001,17,2,7,3,0.3125
CHEMBL161508,8.12,Cz,5.88660000000001,84.5,558.255228696001,13,2,5,3,0.363636363636364
CHEMBL352168,8.7,Cz,4.9409,97.39,513.266127728001,15,2,6,2,0.5
CHEMBL158567,8.26,Cz,5.58170000000001,97.39,595.250477664001,16,2,6,4,0.257142857142857
CHEMBL436227,7.85,Cz,4.5508,97.39,499.250477664001,14,2,6,2,0.481481481481481
CHEMBL347459,9.05,Cz,5.97180000000001,97.39,609.266127728001,17,2,6,4,0.277777777777778
CHEMBL161116,7.22,Cz,3.2712,87.74,477.266127728001,12,2,5,1,0.64
CHEMBL159247,6.88,Cz,4.1055,87.74,539.281777792001,16,2,5,2,0.5
CHEMBL348117,7.98,Cz,6.76870000000001,84.5,588.302178888001,16,2,5,3,0.4
CHEMBL158815,7.52,Cz,3.9021,123.69,577.224656840001,17,2,8,3,0.32258064516129
