ChEMBLID,SMILES,pValue,StandType,grappolo
CHEMBL90512,C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,7.3,IC50,Cz
CHEMBL90475,S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,6.0,IC50,Cz
CHEMBL94235,N/C(S)=N/N=C/c1cccn1S(=O)(=O)c1ccccc1,5.55,IC50,Cz
CHEMBL92099,CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,7.7,IC50,Cz
CHEMBL90428,CC1CN(C(=N)S)N=C1c1cccc(Cl)c1,6.64,IC50,Cz
CHEMBL91640,N=C(S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,7.1,IC50,Cz
CHEMBL90772,N=C(S)N/N=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1,6.5,IC50,Cz
CHEMBL89973,C/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.22,IC50,Cz
CHEMBL93774,COc1ccccc1-c1ccc(/C=N/N=C(/N)S)o1,6.55,IC50,Cz
CHEMBL91844,N/C(S)=N/N=C/c1cccc(Br)c1,5.89,IC50,Cz
CHEMBL90354,FC(F)(F)c1cccc(NC(=S)N2CCC(c3cccc(Cl)c3)=N2)c1,5.77,IC50,Cz
CHEMBL90819,C/C(=N\N=C(\N)S)c1ccccc1Br,5.41,IC50,Cz
CHEMBL329128,N/C(S)=N/N=C/c1ccc(-c2cccc(Cl)c2)o1,6.85,IC50,Cz
CHEMBL89990,C/C(=N\N=C(\N)S)c1ccc(Br)s1,5.42,IC50,Cz
CHEMBL90060,N/C(S)=N/N=C/c1ccc(-c2ccc(Br)cc2)o1,6.55,IC50,Cz
CHEMBL88734,C/C(=N\N=C(\N)S)c1cccc(Br)c1,6.7,IC50,Cz
CHEMBL330050,C/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,6.77,IC50,Cz
CHEMBL314026,NC(=S)N1CCC(c2cccc(Br)c2)=N1,6.7,IC50,Cz
CHEMBL91544,CC1CN(C(=N)S)N=C1c1ccc(Cl)c(Cl)c1,7.16,IC50,Cz
CHEMBL327577,N/C(S)=N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,6.52,IC50,Cz
CHEMBL90808,Cn1c(/C=N/N=C(/N)S)cc2ccccc21,5.55,IC50,Cz
CHEMBL92376,CC/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,7.3,IC50,Cz
CHEMBL406038,CC1CN(C(=N)S)N=C1c1cccc(Br)c1,7.1,IC50,Cz
CHEMBL91347,CCCCCC/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,5.85,IC50,Cz
CHEMBL90867,COc1ccc2ccccc2c1/C=N/N=C(/N)S,6.25,IC50,Cz
CHEMBL329346,NC(=S)N1CCC(c2ccc(Cl)c(Cl)c2)=N1,7.22,IC50,Cz
CHEMBL90181,C/C(=N\N=C(\N)S)c1ccc(Cl)s1,5.72,IC50,Cz
CHEMBL90688,N=C(S)N/N=C/c1cccc(C(F)(F)F)c1,6.32,IC50,Cz
CHEMBL420616,CC/C(=N\N=C(/S)Nc1ccc(C(F)(F)F)cc1)c1cccc(Br)c1,5.8,IC50,Cz
CHEMBL421363,N/C(S)=N/N=C/c1cc(Cl)cc(Cl)c1,6.25,IC50,Cz
CHEMBL91003,CC1CN(C(=N)S)N=C1c1cccc(C(F)(F)F)c1,7.4,IC50,Cz
CHEMBL415311,N/C(S)=N/N=C/c1ccc(Cl)c(Cl)c1,6.34,IC50,Cz
CHEMBL91830,Cn1nc(-c2ccc(/C=N/N=C(/N)S)s2)cc1C(F)(F)F,5.16,IC50,Cz
CHEMBL313679,CC/C(=N\N=C(\N)S)c1cccc(Br)c1,7.0,IC50,Cz
CHEMBL93166,CC/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.7,IC50,Cz
CHEMBL90197,NC(=S)N1CCC(c2cccc(Cl)c2)=N1,6.57,IC50,Cz
CHEMBL90866,CC/C(=N\N=C(\N)S)c1cccc(Cl)c1,6.66,IC50,Cz
CHEMBL3142832,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)N/C=C/S(=O)(=O)c1ccccc1)C(=O)NC(=O)NN1CCOCC1,6.66,Ki,Cz
CHEMBL3142835,O=C(NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCc1ccccc1)N/C=C/S(=O)(=O)c1ccccc1)NN1CCOCC1,6.44,Ki,Cz
CHEMBL3142836,O=C(NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](CCc1ccccc1)N/C=C/S(=O)(=O)c1ccc2ccccc2c1)NN1CCOCC1,7.32,Ki,Cz
CHEMBL100017,CC(C)N1CC(=O)C(NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)CC1=O,6.42,Ki,Cz
CHEMBL103238,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSCCCc1ccccc1)OCc1ccccc1,8.7,Ki,Cz
